City Name,Zone Name,CCTV Junction No.,CCTV Pole No.,CCTV LOCATION
Nagpur,Ashi Nagar,663,Pole 1,Gaushala Kamptee
Nagpur,Ashi Nagar,664,Pole 1,Bhuraji Mandir-Prabhag 16
Nagpur,Ashi Nagar,665,Pole 1,Juni Bhaji Mandi Darga
Nagpur,Ashi Nagar,666,Pole 1,Gandhi Chowk Kamptee
Nagpur,Ashi Nagar,667,Pole 1,Dr.Babasaheb Ambedkar Smarak-Jaistambh Chowk
Nagpur,Ashi Nagar,668,Pole 1,Ramgadh-Near Agrawal Company
Nagpur,Ashi Nagar,669,Pole 1,Ravidas Nagar Corner
Nagpur,Ashi Nagar,670,Pole 1,Jama Masjid Chowk
Nagpur,Ashi Nagar,671,Pole 1,Durga Chowk-Yerkheda
Nagpur,Ashi Nagar,672,Pole 1,Under ground Bridge T-Point
Nagpur,Laxmi Nagar,673,Pole 1,Shivaji chowk
Nagpur,Laxmi Nagar,674,Pole 1,Ambedkar Chowk Hingna
Nagpur,Laxmi Nagar,675,Pole 1,Panchwati Park
Nagpur,Laxmi Nagar,676,Pole 1,Gupta Hotel
Nagpur,Laxmi Nagar,677,Pole 1,Tahsil OFC
Nagpur,Laxmi Nagar,678,Pole 1,PS Main Gate
Nagpur,Mangalwari,679,Pole 1,Dayanand Park Chowk
Nagpur,Ashi Nagar,680,Pole 1,Gurunanak college
Nagpur,Mangalwari,681,Pole 1,Sai Mandir
Nagpur,Ashi Nagar,682,Pole 1,Uppalwadi Rly Bridge
Nagpur,Mangalwari,683,Pole 1,Kamptee Road Gurudwara
Nagpur,Mangalwari,684,Pole 1,Dayanand Park Dayanand Park Chowk
Nagpur,Mangalwari,685,Pole 1,New Dayanand Park Sai Chanduram Chowk
Nagpur,Mangalwari,686,Pole 1,Bharat Mata Chowk Koradi
Nagpur,Dhantoli,687,Pole 1,New Ajit Bekari
Nagpur,Satranjipura,688,Pole 1,Devtare Chowk  Near Highmost light  Mehandibagh road  New Mangalwari
Nagpur,Ashi Nagar,689,Pole 1,Taramata Chowk Near Yerkheda Grampanchayat  Yerkheda
Nagpur,Ashi Nagar,690,Pole 1,Natthu Chinchulkar Panthela Near T-Point Yerkheda
Nagpur,Ashi Nagar,691,Pole 1,Sayid Nagar  Near Natwar Balaji Mandir Ranala
Nagpur,Ashi Nagar,692,Pole 1,Near Vitthal Rukhmini Mandir  juni Vasti  Ranala
Nagpur,Dharampeth,693,Pole 1,Infront of Traffic Park Gate
Nagpur,Dharampeth,694,Pole 1,Sugandha Sabagruha
Nagpur,Ashi Nagar,695,Pole 1,Khallasi Line New Vasti
Nagpur,Ashi Nagar,696,Pole 1,Kalbhairav Mandir
Nagpur,Ashi Nagar,697,Pole 1,Tidke Layout Ranala
Nagpur,Ashi Nagar,698,Pole 1,Ganesh Mandir Amit Thakre House Ranala
Nagpur,Ashi Nagar,699,Pole 1,PNT Colony  Ranala
Nagpur,Dhantoli,700,Pole 1,NMC Workshop
Nagpur,Nehru Nagar,701,Pole 1,Pride Bar Hudkeshwar Road
Nagpur,Lakadganj,702,Pole 1,Kalamana Police station
Nagpur,Dhantoli,703,Pole 1,Chhatrapati nagar chowk
Nagpur,Ashi Nagar,704,Pole 1,Bada Nala Old Kamptee
Nagpur,Ashi Nagar,705,Pole 1,Tilak Nagar Old Kamptee
Nagpur,Ashi Nagar,706,Pole 1,Ghorpad Road New Kamptee
Nagpur,Ashi Nagar,707,Pole 1,Shitala Mata Mandir New Kamptee
