City Name,Zone Name,CCTV Junction No.,CCTV Pole No.,CCTV LOCATION
Nagpur,Laxmi Nagar,119,Pole 1,Nelco society
Nagpur,Laxmi Nagar,119,Pole 2,Nelco society
Nagpur,Laxmi Nagar,120,Pole 1,Rpts road
Nagpur,Laxmi Nagar,121,Pole 1,Jain mandir laxminagar
Nagpur,Laxmi Nagar,122,Pole 1,Radhey mamgalam gali
Nagpur,Laxmi Nagar,123,Pole 1,Ganesh mandir tatya tope nagar
Nagpur,Laxmi Nagar,124,Pole 1,Pratap nagar durga mandir
Nagpur,Laxmi Nagar,125,Pole 1,Aaji aajoba park
Nagpur,Laxmi Nagar,126,Pole 1,Nit garden trimurti nagar
Nagpur,Dharampeth,127,Pole 1,Opposite to C.P. Club
Nagpur,Mangalwari,128,Pole 1,Opposite to St.John School
Nagpur,Mangalwari,129,Pole 1,Aakar Building Area
Nagpur,Mangalwari,130,Pole 1,L.I.C. Chowk
Nagpur,Mangalwari,131,Pole 1,Gaddigodanm square
Nagpur,Mangalwari,132,Pole 1,Meshram putla square
Nagpur,Mangalwari,133,Pole 1,Chhovani square
Nagpur,Dharampeth,134,Pole 1,V.C.A. chowk
Nagpur,Dharampeth,134,Pole 2,V.C.A. chowk
Nagpur,Mangalwari,135,Pole 1,Punam chamber ahead
Nagpur,Mangalwari,136,Pole 1,Pagalkhana square
Nagpur,Mangalwari,136,Pole 2,Pagalkhana square
Nagpur,Mangalwari,137,Pole 1,Hotel Ashoka Chowk
Nagpur,Mangalwari,137,Pole 2,Hotel Ashoka Chowk
Nagpur,Mangalwari,138,Pole 1,Durga Mata Mandir Chowk
Nagpur,Mangalwari,139,Pole 1,Police Talao Chowk
Nagpur,Mangalwari,140,Pole 1,Gondwana Chowk
Nagpur,Mangalwari,140,Pole 2,Gondwana Chowk
Nagpur,Mangalwari,141,Pole 1,Punam Chamber
Nagpur,Dharampeth,142,Pole 1,Mohd. Rafi Chowk
Nagpur,Dharampeth,142,Pole 2,Mohd. Rafi Chowk
Nagpur,Dharampeth,143,Pole 1,RaviBhavan Main Gate
Nagpur,Dharampeth,143,Pole 2,RaviBhavan Main Gate
Nagpur,Dharampeth,144,Pole 1,Futala Talao Road Ramgiri Banglow Chowk
Nagpur,Dharampeth,144,Pole 2,Futala Talao Road Ramgiri Banglow Chowk
Nagpur,Dharampeth,145,Pole 1,RajBhavan Rear Gate Chowk
Nagpur,Dharampeth,145,Pole 2,RajBhavan Rear Gate Chowk
